Province/State,Province/State,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Active,County,State/County FIPS Code
Texas,US,"6/19/2020, 6:33 PM",32.3,-102.64,35,0,0,35,Andrews,48003
Maine,US,"6/19/2020, 6:33 PM",44.17,-70.2,445,0,4,441,Androscoggin,23001
Texas,US,"6/19/2020, 6:33 PM",31.25,-94.61,366,0,6,360,Angelina,48005
Maryland,US,"6/19/2020, 6:33 PM",39.01,-76.6,"4,862",0,198,"4,664",Anne Arundel,24003
Minnesota,US,"6/19/2020, 6:33 PM",45.27,-93.25,"1,836",0,96,"1,740",Anoka,27003
North Carolina,US,"6/19/2020, 6:33 PM",34.97,-80.1,91,0,1,90,Anson,37007
Nebraska,US,"6/19/2020, 6:33 PM",42.18,-98.07,8,0,0,8,Antelope,31003
Michigan,US,"6/19/2020, 6:33 PM",45,-85.16,14,0,0,14,Antrim,26009
Arizona,US,"6/19/2020, 6:33 PM",35.39,-109.49,"2,103",0,63,"2,040",Apache,4001
Iowa,US,"6/19/2020, 6:33 PM",40.74,-92.87,18,0,3,15,Appanoose,19007
Georgia,US,"6/19/2020, 6:33 PM",31.75,-82.29,214,0,13,201,Appling,13001
Virginia,US,"6/19/2020, 6:33 PM",37.38,-78.81,35,0,0,35,Appomattox,51011
Texas,US,"6/19/2020, 6:33 PM",28.11,-97,7,0,0,7,Aransas,48007
Colorado,US,"6/19/2020, 6:33 PM",39.65,-104.34,"4,905",0,339,"4,566",Arapahoe,8005
Texas,US,"6/19/2020, 6:33 PM",33.62,-98.69,3,0,0,3,Archer,48009
Colorado,US,"6/19/2020, 6:33 PM",37.19,-107.05,8,0,0,8,Archuleta,8007
Michigan,US,"6/19/2020, 6:33 PM",44.06,-83.89,38,0,1,37,Arenac,26011
Arkansas,US,"6/19/2020, 6:33 PM",34.29,-91.37,18,0,0,18,Arkansas,5001
Virginia,US,"6/19/2020, 6:33 PM",38.88,-77.1,"2,396",0,126,"2,270",Arlington,51013
Pennsylvania,US,"6/19/2020, 6:33 PM",40.82,-79.46,69,0,6,63,Armstrong,42005
Texas,US,"6/19/2020, 6:33 PM",34.97,-101.36,3,0,0,3,Armstrong,48011
Maine,US,"6/19/2020, 6:33 PM",46.66,-68.6,11,0,1,10,Aroostook,23003
Louisiana,US,"6/19/2020, 6:33 PM",30.2,-90.91,961,0,58,903,Ascension,22005
North Carolina,US,"6/19/2020, 6:33 PM",36.43,-81.5,44,0,1,43,Ashe,37009
Ohio,US,"6/19/2020, 6:33 PM",40.85,-82.27,37,0,0,37,Ashland,39005
Wisconsin,US,"6/19/2020, 6:33 PM",46.32,-90.68,3,0,0,3,Ashland,55003
Arkansas,US,"6/19/2020, 6:33 PM",33.19,-91.77,51,0,1,50,Ashley,5003
Ohio,US,"6/19/2020, 6:33 PM",41.71,-80.75,406,0,42,364,Ashtabula,39007
Washington,US,"6/19/2020, 6:33 PM",46.19,-117.2,20,0,2,18,Asotin,53003
Louisiana,US,"6/19/2020, 6:33 PM",29.9,-91.06,324,0,14,310,Assumption,22007
Texas,US,"6/19/2020, 6:33 PM",28.89,-98.53,62,0,2,60,Atascosa,48013
Kansas,US,"6/19/2020, 6:33 PM",39.53,-95.31,27,0,0,27,Atchison,20005
Missouri,US,"6/19/2020, 6:33 PM",40.43,-95.43,3,0,0,3,Atchison,29005
Ohio,US,"6/19/2020, 6:33 PM",39.33,-82.04,24,0,1,23,Athens,39009
Georgia,US,"6/19/2020, 6:33 PM",31.3,-82.88,89,0,2,87,Atkinson,13003
New Jersey,US,"6/19/2020, 6:33 PM",39.48,-74.66,"2,619",0,188,"2,431",Atlantic,34001
Oklahoma,US,"6/19/2020, 6:33 PM",34.37,-96.04,11,0,0,11,Atoka,40005
Mississippi,US,"6/19/2020, 6:33 PM",33.09,-89.58,335,0,23,312,Attala,28007
